LOCATION,SITE_NAME,SHORT_NAME,LATITUDE,LONGITUDE,OZONE_1000PPB,POPULATION_DENSITY
2001,Citrus Heights-Sunrise Blvd,Citrus_Hghts,38.6988,-121.2711,24.937503,39.61027588
2008,El Capitan Beach,El_Capitan_B,34.4622,-120.0258,31.375241,0.12155118
2011,Eureka-Fort Avenue,Eureka-FtAve,40.8019,-124.163,17.202105,17.58001099
2012,Fresno-Cal State #2,Fresno-ClSt2,36.8136,-119.7402,36.643659,54.46195313
2013,Fresno-Drummond Street,Fresno-Drmnd,36.7055,-119.7413,28.073974,81.12875488
2016,Carmel Valley-Ford Road,Carm_Val-Frd,36.4819,-121.7333,26.86707,2.262016296
2029,Scotts Valley-Skypark Airport,Scotts_V-Sky,37.0508,-121.9694,20.557556,6.688231201
2031,Lancaster,Lancaster,34.7122,-118.1391,39.270627,19.03510376
2032,Visalia-N Church Street,Visalia-NChu,36.3325,-119.2908,30.02069,50.854375
2040,San Diego-Overland Avenue,Sn_Dieg-Ovrl,32.8364,-117.1289,28.830443,0.126952534
2045,Hawthorne,Hawthorne,33.9208,-118.3703,23.450486,33.62909912
2046,Merced-Merced College,Merced-Cllge,37.3019,-120.4819,45.086395,25.7730835
2050,Los Alamitos-Air Station,Ls_Alamts-AS,33.7958,-117.968,22.760294,168.1834375
2051,Monterey-APCD,Montery-APCD,36.6,-121.894,23.61161,64.43681152
2061,Sequoia-Lookout Point,Sequoia-LOPt,36.4286,-118.7677,48.713333,0.00425106
2069,Sequoia Natl Park-Giant Forest,Seq_NP-Giant,36.5691,-118.7738,60.97807,0.001750453
2070,Mountain View-Cuesta,Mtn_View-Cst,37.3725,-122.0786,18.190979,119.8422559
2071,San Bernardino-East 3rd,S_Brnrdn-3rd,34.1072,-116.7238,34.105994,0.00248241
2077,Redlands-Dearborn,Redlands-Drb,34.0588,-117.1477,35.172612,61.27826172
2084,Merced-1st Street,Merced-1st,37.302,-120.482,20.938806,25.7730835
2086,Turlock-Monte Vista #1,Turlock-MV#1,37.5227,-120.8666,32.668935,9.475600586
2088,Ventura-Emma Wood State Beach,Emma_Wood_SB,34.2805,-119.3152,28.184054,0.126825247
2091,Vandenberg Air Force Base-Herado Avenue,Van_AFB-Hera,34.7094,-119.4652,34.1143,0.000664659
2092,Santa Barbara-State,S_Barbr-Stat,34.423,-119.703,15.445238,78.69096191
2094,Stockton-Hazelton Street,Stockton-Haz,37.9516,-121.2688,19.875459,54.16160645
2097,San Luis Obispo-Goldtree,S_L_O-Goldtr,35.283,-120.659,24.254286,28.50988037
2102,Pittsburg-10th Street,Pittsbg-10th,38.0169,-121.8836,23.589232,70.59593262
2105,Santa Rosa-5th Street,S_Rosa-5th,38.4436,-122.7091,17.71431,47.52734863
2109,Colusa-Fairgrounds,Colusa-FairG,39.2025,-122.0177,27.942395,5.97171814
2114,Parlier,Parlier,36.5975,-119.5036,33.598026,14.07013672
2115,Chico-Manzanita Avenue,Chico-Manznt,39.7575,-121.8422,26.077027,45.46656738
2123,North Highlands-Blackfoot Way,N_High-Blckf,38.7122,-121.3811,24.468688,28.10190674
2125,Redwood City,Redwood_City,37.4824,-122.2033,17.285015,17.10453247
2127,Clearlake Highlands-Fire Department,Clr_Lk_Hghln,38.956,-122.647,26.540373,3.261672058
2131,Bakersfield-Chester Street,Baker-Chestr,35.3578,-119.019,27.490866,45.54812988
2137,Eureka-Fort Humboldt,Eureka-FtHmb,40.7755,-124.1897,9.906076,0.05391273
2139,Quincy-S Redburg Avenue,Quincy-SRedb,39.9369,-120.9461,28.122981,0.726492538
2143,Davis-UCD Campus,Davis-UCD,38.5352,-121.773,23.944132,2.206513214
2146,Oildale-3021 Manor Street,Oildale-3021,35.435,-118.9875,29.486179,34.01072021
2147,Ojai-1768 Maricopa Highway,Ojai-1768Mar,34.448,-119.242,34.860335,1.114448853
2148,Santa Maria-705 E Main Street,S_Maria-705E,34.9583,-120.4291,23.36789,96.14259766
2149,Norco-Norconian,Norco-Norcnn,33.9215,-117.5722,30.238611,22.92568359
2156,Sequoia Natl Park-Ash Mountain #2,Seq_NP-Ash#2,36.4988,-118.8238,48.70083,0.007848492
2159,Newhall,Newhall,34.385,-118.53,32.679896,75.67274902
2160,Pasadena-S Wilson Avenue,Pasadena-SWl,34.1322,-118.1277,24.924635,136.8280566
2161,Santa Maria-Broadway,S_Maria-SBrd,34.9507,-120.4341,22.353944,96.14259766
2164,Los Alamitos-Orangewood Avenue,Ls_Alamts-Or,33.7958,-118.0327,22.40074,108.0571973
