Movie,RottenTomatoes,AudienceScore,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,Profitability
Spider-Man 3,61,54,4252,35540,336.53,345.3
Shrek the Third,42,57,4122,29507,322.72,499.35
Transformers,57,89,4011,17577,319.25,473.14
Pirates of the Caribbean: At World's End,45,74,4362,26302,309.42,321.14
Harry Potter and the Order of the Phoenix,78,82,4285,17998,292,626.59
I Am Legend,69,69,3606,21411,256.39,390.23
The Bourne Ultimatum,93,91,3660,18929,227.47,402.57
National Treasure: Book of Secrets,31,72,3832,11686,219.96,351.82
Alvin and the Chipmunks,26,73,3475,12750,217.33,516.19
Ratatouille,97,84,3940,11935,206.45,415.81
The Simpsons Movie,90,78,3922,18877,183.14,702.76
Wild Hogs,14,72,3287,12077,168.27,281.8
Knocked Up,91,83,2871,10690,148.77,663.86
Juno,94,89,1019,10436,143.5,3085.48
Rush Hour 3,20,68,3778,12996,140.13,184.3
Live Free or Die Hard,79,86,3408,9791,134.53,348.66
Fantastic Four: Rise of the Silver Surfer,35,55,3959,14663,131.92,222.34
American Gangster,79,87,3054,14264,130.16,266.46
Enchanted,93,80,3730,9233,127.81,400.57
Bee Movie,52,57,3928,9679,126.63,191.73
Superbad,88,87,2948,11211,121.46,849.36
I Now Pronounce You Chuck and Larry,13,73,3495,9795,120.06,218.91
Hairspray,92,84,3121,8803,118.87,270.06
Blades of Glory,69,66,3372,9790,118.59,238.87
Ocean's 13,70,74,3565,10135,117.15,366.25
Ghost Rider,28,56,3619,12541,115.8,207.94
Evan Almighty,23,56,3604,8654,100.46,99.1
Meet the Robinsons,66,75,3413,7361,97.82,169.33
Norbit,9,56,3136,10904,95.67,265.52
The Bucket List,41,81,2911,6661,93.47,389.72
The Game Plan,27,75,3103,7396,90.65,672.18
Beowulf,71,52,3153,8726,82.28,130.93
Disturbia,67,75,2925,7598,80.21,588.79
No Country for Old Men,95,84,860,9042,74.28,686.5
The Golden Compass,42,55,3528,7308,70.11,206.8
Charlie Wilson's War,82,73,2575,3750,66.66,158.67
Saw IV,18,70,3183,9976,63.3,1393.52
Stomp the Yard,27,83,2051,10645,61.36,539.36
Surf's Up,78,64,3528,5000,58.87,175.34
Halloween,26,64,3472,7592,58.27,401.27
Tyler Perry's Why Did I get Married,46,47,2011,10618,55.2,372.41
TMNT,33,63,3110,7799,54.15,273.17
P.S. I Love You,21,82,2454,2641,53.7,522.78
3:10 to Yuma,88,85,2652,5292,53.61,145.86
Sweeney Todd: The Demon Barber of Fleet Street,86,81,1249,7446,52.9,305.05
Music and Lyrics,63,70,NA,NA,50.57,364.74
Michael Clayton,90,72,2511,4131,49.03,371.96
Premonition,8,55,2831,6202,47.85,420.73
The Kingdom,52,78,2793,6135,47.54,108.32
Shooter,47,82,2806,5175,47,156.88
License to Wed,8,55,2604,4002,43.8,198.02
No Reservations,39,64,2425,4826,43.11,330.71
Alien vs. Predator -- Requiem,14,37,2611,3853,41.8,322.21
There Will Be Blood,91,84,885,5502,40.22,304.72
Epic Movie,2,38,2801,6644,39.74,434.33
Hitman,15,61,2458,5362,39.69,571.23
