Name,RottenTomatoes,AudienceScore,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,Profitability
30 Minutes or Less,35,67,4088,23937,352.39,5.759974359
50/50,92,81,2961,5002,54.71,3.8524375
A Very Harold and Kumar Christmas,68,79,2555,2744,24.82,4.9632
Anonymous,38,62,2150,1513,7.17,0.180731707
Apollo 18,4,59,3438,7273,68.91,1.062164557
Arthur,19,63,3548,8601,103.03,2.6868125
Arthur Christmas,91,79,2405,3267,26.69,1.105066667
Average,44,50,3750,9715,100.24,1.072521472
Bad Teacher,36,59,3112,10349,80.49,2.433133333
Battle: Los Angeles,25,48,2986,3132,25.12,0.756585714
Beginners,83,87,3648,15024,176.7,5.174473118
Bridesmaids,89,88,29,41038,24.54,1.22705
Captain America: The First Avenger,72,67,2840,7450,62.5,2.547171315
Cars 2,34,61,4155,21697,241.07,4.175484
Cedar Rapids,84,63,3222,6935,75.64,2.257383333
Colombiana,23,31,2940,6060,48.5,0.995714286
Conan the Barbarian,4,46,3118,3504,28.07,2.344828571
Contagion,83,76,3952,8623,142.09,2.187584615
Cowboys and Aliens,36,52,2996,2835,16.93,0.721789474
"Crazy, Stupid, Love",72,70,2802,4655,37.41,2.449575
Diary of a Wimpy Kid 2: Rodrick Rules,38,56,4115,16072,191.45,2.75925
Dolphin Tale,83,84,247,7174,5.31,0.8258
Don't Be Afraid Of The Dark,47,54,3339,5524,68.22,3.406454545
Drive,93,93,2458,3517,34.9,4.563875
Drive Angry,37,54,1719,2955,13.84,3.682733333
Everything Must Go,69,72,3040,9310,117.54,5.989657143
Extremely Loud and Incredibly Close,38,50,2473,3014,23.18,1.9832
Fast Five,75,68,3114,2477,18.3,1.236733333
Final Destination 5,50,48,2273,2259,13.07,0.478933333
Footloose,61,56,3155,5715,42.59,3.947175
Friends With Benefits,66,55,106,6111,4.4,0.32
Fright Night,71,71,3549,4383,51.16,2.585541667
Gnomeo and Juliet,45,38,2290,2265,10.72,0.642911111
Green Lantern,22,40,3295,3534,38.54,2.743703704
Hall Pass,24,53,2913,4645,37.08,1.362173077
Hanna,62,57,22,4890,0.97,0.303333333
Happy Feet 2,35,50,3417,10411,83.55,3.025971429
Harry Potter and the Deathly Hallows Part 2,96,92,4375,38672,381.01,10.624888
Hop,20,43,2985,4955,33,2.594594595
Horrible Bosses,60,79,3703,10704,179.04,3.52032
Hugo,93,86,3448,8672,197.8,3.686206897
I Am Number Four,23,50,3395,10489,142.61,5.110527273
Immortals,27,48,3816,13935,116.6,1.099255
In Time,34,46,2973,4405,35.61,1.746933333
Insidious,56,52,2994,8469,99.97,5.387972222
J.Edgar,35,58,3615,23775,254.46,7.2683
Johnny English Reborn,30,39,2787,3390,23.2,3.62
Killer Elite,17,37,2864,5221,29.14,1.305133333
Kung Fu Panda 2,77,80,3955,16618,181.03,2.99008
Larry Crowne,24,50,3002,1806,14.01,1.5213
Limitless,60,72,2817,5979,58.71,3.081421053
Mars Needs Moms,26,50,3579,10490,108.09,2.919888889
Midnight in Paris,93,79,2886,3929,34.68,4.467133333
Mission Impossible 4,93,84,944,6177,56.18,8.186882353
Moneyball,95,89,2993,6516,74.21,2.04218
Monte Carlo,32,57,3154,6167,55.1,2.408333333
Mr. Popper's Penguins,38,55,3122,3860,36.49,3.184825
My Week with Marilyn,78,83,3644,23655,209.83,5.00904
No Strings Attached,39,43,2296,3782,19.49,1.08484
One Day,28,46,2003,1730,6.93,0.27712
