ID , Lake , Chlorophyll , Alkalinity , pH , Calcium ,Mercury
1,Alligator ,0.7,5.9,6.1,3,1.53
2,Annie ,3.2,3.5,5.1,1.9,1.33
3,Apopka ,128.3,116,9.1,44.1,0.04
4,Blue_Cypress ,3.5,39.4,6.9,16.4,0.44
5,Brick ,1.8,2.5,4.6,2.9,1.33
6,Bryant ,44.1,19.6,7.3,4.5,0.25
7,Cherry ,3.4,5.2,5.4,2.8,0.45
8,Crescent ,33.7,71.4,8.1,55.2,0.16
9,Deer_Point ,1.6,26.4,5.8,9.2,0.72
10,Dias ,22.5,4.8,6.4,4.6,0.81
11,Dorr ,14.9,6.6,5.4,2.7,0.71
12,Down ,4,16.5,7.2,13.8,0.51
13,Eaton ,11.6,25.4,7.2,25.2,0.54
14,East_Tohopekaliga ,5.8,7.1,5.8,5.2,1
15,Farm-13 ,71.1,128,7.6,86.5,0.05
16,George ,78.6,83.7,8.2,66.5,0.15
17,Griffin ,80.1,108.5,8.7,35.6,0.19
18,Harney ,13.9,61.3,7.8,57.4,0.49
19,Hart ,4.6,6.4,5.8,4,1.02
20,Hatchineha ,17,31,6.7,15,0.7
21,Iamonia ,9.6,7.5,4.4,2,0.45
22,Istokpoga ,9.5,17.3,6.7,10.7,0.59
23,Jackson ,21,12.6,6.1,3.7,0.41
24,Josephine ,32.1,7,6.9,6.3,0.81
25,Kingsley ,1.6,10.5,5.5,6.3,0.42
26,Kissimmee ,21.5,30,6.9,13.9,0.53
27,Lochloosa ,24.7,55.4,7.3,15.9,0.31
28,Louisa ,7,3.9,4.5,3.3,0.87
29,Miccasukee ,14.8,5.5,4.8,1.7,0.5
30,Minneola ,0.7,6.3,5.8,3.3,0.47
31,Monroe ,43.8,67,7.8,58.6,0.25
32,Newmans ,32.7,28.8,7.4,10.2,0.41
33,Ocean_Pond ,3.2,5.8,3.6,1.6,0.87
34,Ocheese_Pond ,3.2,4.5,4.4,1.1,0.56
35,Okeechobee ,16.1,119.1,7.9,38.4,0.16
36,Orange ,45.2,25.4,7.1,8.8,0.16
37,Panasoffkee ,16.5,106.5,6.8,90.7,0.23
38,Parker ,152.4,53,8.4,45.6,0.04
39,Placid ,12.8,8.5,7,2.5,0.56
40,Puzzle ,20.1,87.6,7.5,85.5,0.89
41,Rodman ,6.4,114,7,72.6,0.18
42,Rousseau ,6.2,97.5,6.8,45.5,0.19
43,Sampson ,1.6,11.8,5.9,24.2,0.44
44,Shipp ,68.2,66.5,8.3,26,0.16
45,Talquin ,24.1,16,6.7,41.2,0.67
46,Tarpon ,9.6,5,6.2,23.6,0.55
51,Tohopekaliga ,27.7,25.6,6.2,12.6,0.58
47,Trafford ,9.6,81.5,8.9,20.5,0.27
48,Trout ,6.4,1.2,4.3,2.1,0.98
49,Tsala_Apopka ,4.6,34,7,13.1,0.31
50,Weir ,16.5,15.5,6.9,5.2,0.43
52,Wildcat ,2.6,17.3,5.2,3,0.28
53,Yale ,8.8,71.8,7.9,20.5,0.25
