Movie,RottenTomatoes,AudienceScore,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,Budget,Profitability
The Muppets,97,87,3440,8500,88.63,45,367.08
The Artist,97,91,662,3583,44.671,16,833.95
Harry Potter and the Deathly Hallows Part 2,96,92,4375,38672,381.01,125,1073.21
Moneyball,95,89,2993,6516,75.6,50,220.4
Mission Impossible 4,93,86,3448,8672,209.39,145,479.11
Drive,93,79,2886,3929,35.06,15,507.83
50/50,93,93,2458,3517,35.01,8,489.84
Hugo,93,84,1277,8899,73.864,150,123.85
Midnight in Paris,93,84,944,6177,56.82,17,888.94
Arthur Christmas,92,82,3376,3537,46.46,150,98.27
Source Code,92,81,2961,5002,54.71,32,460.41
Winnie The Pooh,91,79,2405,3267,26.69,30,110.51
Bridesmaids,90,77,2918,8995,169.11,32.5,887.33
The Descendants,89,88,876,5000,82.58,20,886.22
Rango,88,69,3917,9722,123.48,135,182.02
X-Men: First Class,87,88,3641,15134,146.41,160,221.01
The Girl With The Dragon Tattoo,87,89,2914,4382,102.06,90,257.96
Cedar Rapids,86,61,15,20198,6.86,10,68.61
The Ides of March,85,76,2199,4761,40.96,12.5,607.94
Dolphin Tale,84,81,3507,5461,72.29,37,257.86
Contagion,84,63,3222,6935,75.66,60,225.76
The Lincoln Lawyer,84,82,2707,4879,58.01,40,187.52
Beginners,84,80,5,28268,5.79,3.2,447.19
The Tree Of Life,84,61,4,93230,13.3,32,169.7
Puss In Boots,83,76,3952,8623,149.26,130,426.91
Rise of the Planet of the Apes,83,87,3648,15024,176.7,93,518
Warrior,83,93,1869,2805,13.66,25,92.23
Tinker Tailor Soldier Spy,83,68,809,6772,24.149,21,383.95
My Week with Marilyn,83,84,247,7174,14.6,10,350.57
Kung Fu Panda 2,82,80,3925,12142,165.25,150,443.79
Super 8,82,78,3379,10492,127,50,520.19
Shame,80,80,10,34952,3.09,6.5,259.6
Captain America: The First Avenger,78,75,3715,17512,176.65,140,264.69
Fast Five,78,83,3644,23655,209.4,125,500.9
"Crazy, Stupid, Love",78,81,3020,6326,84.35,50,285.7
Thor,77,80,3955,16618,181.03,150,299.55
War Horse,77,73,2376,6114,79.884,66,269.07
The Debt,76,70,1826,5427,31.18,20,228.18
Fright Night,75,68,3114,2477,18.3,30,136.67
The Help,75,91,2534,10278,169.71,25,866.56
The Adventures of Tintin,74,78,3087,3149,77.591,130,287.69
Everything Must Go,74,53,218,3652,2.71,5,54.22
A Very Harold and Kumar Christmas,72,71,2875,4506,35.06,19,186.25
The Adjustment Bureau,72,67,2840,7450,62.5,50.2,254.72
Paul,72,70,2802,4655,37.41,40,244.96
Rio,71,73,3826,10252,143.62,90,538.48
Footloose,71,71,3549,4383,51.8,24,264.76
Friends With Benefits,71,68,2926,6364,55.8,35,427.26
Hanna,71,67,2535,4880,40.26,30,212.6
Horrible Bosses,69,72,3040,9310,117.54,35,598.97
Limitless,69,73,2756,6860,79.25,27,599.44
Tower Heist,68,61,3367,7135,78.04,75,203.9
Paranormal Activity 3,68,58,3321,15829,104.03,5,4140.78
Our Idiot Brother,68,79,2555,2744,24.82,5,496.32
Insidious,67,65,2408,5511,54.01,1.5,6467.27
The Company Men,66,55,106,6111,4.44,15,32.55
We Bought a Zoo,63,79,3117,3003,75.624,50,240.16
The Beaver,62,57,22,4890,0.97,21,30.33
Final Destination 5,61,56,3155,5715,42.59,40,394.72
Sherlock Holmes 2,60,79,3703,10704,186.85,125,436.36
Water For Elephants,60,72,2817,5979,58.71,38,308.14
Don't Be Afraid Of The Dark,59,37,2760,3089,24.05,25,147.97
Real Steel,58,81,3440,7942,85.47,110,272.06
Scream 4,58,57,3305,5656,38.18,40,242.84
Gnomeo and Juliet,56,52,2994,8469,99.97,36,538.8
The Conspirator,56,65,707,4960,11.54,25,61.91
Unknown,55,57,3043,7183,63.69,30,435.95
Average,55,62,2733,8502,69,57,306.6
The Mechanic,53,52,2703,4226,29.12,40,127.68
The Iron Lady,53,54,802,6749,30.017,13,884.27
The Rum Diary,50,48,2273,2259,13.11,45,53.21
No Strings Attached,49,57,3018,6512,70.66,25,596.91
Mr. Popper's Penguins,47,54,3339,5524,68.22,55,340.66
Diary of a Wimpy Kid 2: Rodrick Rules,47,63,3167,7500,52.7,21,344.84
Extremely Loud and Incredibly Close,47,62,2630,3820,31.847,40,138.12
Soul Surfer,46,79,2214,4789,43.85,18,261.6
Anonymous,46,66,265,3856,4.46,30,51.31
Drive Angry,45,38,2290,2265,10.72,45,64.29
Cowboys and Aliens,44,50,3750,9715,100.24,163,107.25
The Green Hornet,44,47,3584,9335,98.78,120,189.85
Bad Teacher,44,38,3049,10365,100.29,20,1080.98
30 Minutes or Less,43,48,2888,4616,37.05,28,144.81
J.Edgar,42,84,1910,5873,37.31,35,241.73
Happy Feet 2,41,59,3606,5889,64.01,135,111.41
The Eagle,39,43,2296,3782,19.49,25,108.48
Cars 2,38,56,4115,16072,191.45,200,279.93
In Time,38,55,3122,3860,37.52,40,434.83
Monte Carlo,38,50,2473,3014,23.19,20,198.33
The Big Year,38,62,2150,1513,7.2,41,18.17
Johnny English Reborn,38,55,1552,2470,8.31,45,355.73
One Day,37,54,1719,2955,13.84,15,395.92
Mars Needs Moms,36,43,3117,2218,21.39,150,25.99
Immortals,36,59,3112,10349,83.5,75,302.54
